date,mean_sea_ice_percent
2025-03-20,86.346664
2025-03-21,85.89333
2025-03-22,85.05333
2025-03-23,84.50667
2025-03-24,85.32
2025-03-25,86.14666
2025-03-26,86.70667
2025-03-27,88.13333
2025-03-28,86.24
2025-03-29,85.973335
2025-03-30,91.266655
2025-03-31,93.21333
2025-04-01,91.61333
2025-04-02,79.13333
2025-04-03,87.50667
2025-04-04,86.34667
2025-04-05,80.493324
2025-04-06,78.73332
2025-04-07,87.24
2025-04-08,83.30666
2025-04-09,85.93334
2025-04-10,90.573326
2025-04-11,91.26668
2025-04-12,85.53334
2025-04-13,81.57334
2025-04-14,79.32
2025-04-15,80.46667
2025-04-16,78.50667
2025-04-17,80.01334
2025-04-18,82.29333
2025-04-19,82.90667
2025-04-20,80.28
2025-04-21,79.25333
2025-04-22,73.24
2025-04-25,74.88
2025-04-26,70.55999
2025-04-27,56.693333
2025-04-28,59.17334
2025-04-29,62.04
2025-04-30,61.52
2025-05-01,57.506664
2025-05-02,63.36
2025-05-03,65.29333
2025-05-04,67.84
2025-05-05,67.36
2025-05-06,68.0
2025-05-07,69.46667
2025-05-08,49.600002
2025-05-09,58.04
2025-05-10,
2025-05-11,57.226665
2025-05-12,34.16
2025-05-13,34.466663
2025-05-14,31.24
2025-05-15,29.146666
2025-05-16,21.8
2025-05-17,20.866667
2025-05-18,0.0
2025-05-19,20.173334
2025-05-20,21.226667
2025-05-21,21.639996
2025-05-22,20.8
